Name,타이틀조건,경기수,타율,타석,타수,안타,1루타,2루타,3루타,홈런,타점,득점,도루,볼넷,삼진,출루율,장타율,OPS,IsoP,wOBA,wRC+,wRC,FPCT,고의사구,몸에 맞는 공,희생 번트,희생플라이,병살타,도루실패,실책,풋아웃,어시스트,개인 아웃카운트,wOBAScale,RpO,runBB,runHBP,run1B,run2B,run3B,runHR,runMinus,runPlus,신인 대상자
3Ducks,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,TRUE
Penguin_iDOL,TRUE,2,0.625,8,8,5,5,0,0,0,0,2,2,0,0,0.625,0.625,1.25,0,0.553,104.78,1.915,1,0,0,0,0,0,1,0,1,0,4,,,,,,,,,,,TRUE
준규공듀,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,FALSE
_Chun,TRUE,3,0.667,9,9,6,5,1,0,0,1,0,0,0,0,0.667,0.778,1.444,0.111,0.631,133.13,2.433,0.938,0,0,0,0,0,0,1,13,2,3,,,,,,,,,,,TRUE
편하비_,TRUE,2,0.25,8,8,2,1,1,0,0,3,0,0,0,0,0.25,0.375,0.625,0.125,0.268,55.82,1.02,1,0,0,0,0,1,0,0,2,4,7,,,,,,,,,,,TRUE
jdw4469,FALSE,1,0,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.83,0.088,1,0,0,0,0,0,0,0,1,0,4,,,,,,,,,,,TRUE
レビノア,TRUE,3,0.143,9,7,1,1,0,0,0,0,1,4,2,1,0.333,0.143,0.476,0,0.251,59.55,1.088,0.667,0,0,0,0,0,0,1,2,0,6,,,,,,,,,,,
Chunsik03,FALSE,2,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.04,0.11,1,0,0,0,0,0,0,0,5,0,5,,,,,,,,,,,
coder_,TRUE,4,0.313,16,16,5,3,2,0,0,1,2,0,0,3,0.313,0.438,0.75,0.125,0.323,130.67,2.388,1,0,0,0,0,0,1,0,19,10,12,,,,,,,,,,,
D_arling,FALSE,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.62,0.066,1,0,0,0,0,0,1,0,3,0,4,,,,,,,,,,,
Sabo_10,TRUE,3,0.769,13,13,10,4,2,1,3,10,4,1,0,2,0.769,1.769,2.538,1,1.067,314.3,5.745,1,0,0,0,0,0,0,0,2,0,3,,,,,,,,,,,
즉석카레,TRUE,4,0.364,12,11,4,4,0,0,0,0,2,4,0,1,0.417,0.364,0.78,0,0.355,106.09,1.939,1,0,1,0,0,0,0,0,6,5,7,,,,,,,,,,,
CVPileMaki,TRUE,4,0.143,14,14,2,1,0,0,1,2,2,0,0,2,0.143,0.357,0.5,0.214,0.211,80.53,1.472,1,0,0,0,0,0,0,0,40,1,12,,,,,,,,,,,
Roscosmos,FALSE,2,0.571,7,7,4,2,2,0,0,2,3,0,0,1,0.571,0.857,1.429,0.286,0.613,100.78,1.842,1,0,0,0,0,0,0,0,1,2,3,,,,,,,,,,,
mochi_2929,TRUE,4,0.412,17,17,7,4,2,0,1,2,3,0,0,1,0.412,0.706,1.118,0.294,0.478,195.49,3.573,1,0,0,0,0,0,0,0,11,9,10,,,,,,,,,,,
ゆっち一,TRUE,4,0.308,13,13,4,2,2,0,0,3,1,0,0,1,0.308,0.462,0.769,0.154,0.33,108.03,1.974,1,0,0,0,0,0,0,0,11,5,9,,,,,,,,,,,
甲斐野柊太,TRUE,4,0.167,13,12,2,1,1,0,0,0,2,1,0,4,0.167,0.25,0.417,0.083,0.179,65.71,1.201,1,0,0,1,0,0,0,0,5,5,11,,,,,,,,,,,
あおいぬ,TRUE,4,0.25,14,12,3,0,2,0,1,3,2,0,1,4,0.357,0.667,1.024,0.417,0.429,146.1,2.67,1,0,1,0,0,1,0,0,8,9,10,,,,,,,,,,,
わかなで,TRUE,4,0.077,14,13,1,1,0,0,0,1,1,2,0,3,0.077,0.077,0.154,0,0.068,37.4,0.684,0.667,0,0,1,0,0,0,2,3,1,13,,,,,,,,,,,
Fresh825,FALSE,2,0.571,7,7,4,3,0,0,1,4,1,0,0,0,0.571,1,1.571,0.429,0.675,110.12,2.013,0,0,0,0,0,0,1,0,0,0,4,,,,,,,,,,,
shimenawa,TRUE,4,0.417,13,12,5,4,1,0,0,0,2,0,1,0,0.462,0.5,0.962,0.083,0.422,133.76,2.445,1,0,0,0,0,0,0,0,12,14,7,,,,,,,,,,,
「yune」,TRUE,3,0,10,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12.08,0.221,0.923,0,0,0,0,0,0,1,11,1,10,,,,,,,,,,,
SFIDA,FALSE,2,0.571,7,7,4,3,0,0,1,2,3,0,0,0,0.571,1,1.571,0.429,0.675,110.12,2.013,1,0,0,0,0,1,0,0,8,3,4,,,,,,,,,,,
Kenomo,FALSE,2,0.167,6,6,1,1,0,0,0,0,0,0,0,1,0.167,0.167,0.333,0,0.147,26.27,0.48,1,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,
sano jpn,FALSE,3,0.286,7,7,2,2,0,0,0,0,0,1,0,1,0.286,0.286,0.571,0,0.253,46.5,0.85,1,0,0,0,0,0,0,0,3,2,5,,,,,,,,,,,
Azuner,TRUE,3,0.077,13,13,1,1,0,0,0,0,0,0,0,1,0.077,0.077,0.154,0,0.068,34.73,0.635,1,0,0,0,0,0,0,0,11,3,12,,,,,,,,,,,
なおｐ--,TRUE,4,0.438,16,16,7,5,1,1,0,2,4,0,0,1,0.438,0.625,1.063,0.188,0.455,176.04,3.218,1,0,0,0,0,0,0,0,14,3,9,,,,,,,,,,,
にゃんこ3K,TRUE,4,0.133,16,15,2,0,1,1,0,2,1,0,0,0,0.188,0.333,0.521,0.2,0.224,96.41,1.762,0.917,0,1,0,0,1,0,1,6,5,14,,,,,,,,,,,
559：広告,TRUE,3,0.1,10,10,1,1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0.088,31.1,0.569,1,0,0,0,0,0,0,0,0,3,9,,,,,,,,,,,
--めい--,TRUE,4,0,10,9,0,0,0,0,0,0,0,2,1,2,0.1,0,0.1,0,0.069,26.91,0.492,0.625,0,0,0,0,0,0,3,4,1,9,,,,,,,,,,,
Megu3568,TRUE,4,0.2,16,15,3,2,0,0,1,1,1,0,0,4,0.25,0.4,0.65,0.2,0.285,117.46,2.147,0.778,0,1,0,0,0,0,2,7,0,12,,,,,,,,,,,
KFC_IS_MY_LIFE,FALSE,1,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.83,0.088,0.833,0,0,0,0,0,0,2,9,1,4,,,,,,,,,,,
木賊（とくさ）,TRUE,3,0.182,11,11,2,1,1,0,0,0,1,0,0,1,0.182,0.273,0.455,0.091,0.195,59.45,1.087,0.818,0,0,0,0,0,0,2,5,4,9,,,,,,,,,,,
檸檬の残骸,TRUE,3,0.5,12,12,6,3,2,0,1,2,1,0,0,0,0.5,0.917,1.417,0.417,0.604,170.43,3.115,1,0,0,0,0,0,0,0,28,1,6,,,,,,,,,,,
P0TA0,TRUE,3,0.273,11,11,3,2,1,0,0,0,0,0,0,1,0.273,0.364,0.636,0.091,0.275,78.47,1.434,0.967,0,0,0,0,0,0,1,27,2,8,,,,,,,,,,,
紅さかな,FALSE,1,0.5,4,4,2,1,0,1,0,0,1,0,0,1,0.5,1,1.5,0.5,0.621,58.31,1.066,1,0,0,0,0,0,0,0,2,0,2,,,,,,,,,,,
keiraiden,FALSE,2,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6.04,0.11,1,0,0,0,0,0,0,0,2,0,5,,,,,,,,,,,
IbikiKai_JP,FALSE,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.42,0.044,1,0,0,0,0,0,0,0,6,1,2,,,,,,,,,,,
